"","DataZone2011Code","TDS"
"213","S01006605",9.203414396
"214","S01006605",1.928115854
"215","S01006605",0.924324414
"216","S01006605",3.94127469
"217","S01006605",0.868963313
"218","S01006605",-0.220034399
"219","S01006607",0.602716692
"220","S01006605",2.910378205
"221","S01006607",-0.845069319
"222","S01006609",-0.769747017
"223","S01006609",-1.2386117
"224","S01006609",0.641032917
"225","S01006607",1.18090775
"226","S01006623",-0.956439844
"227","S01006623",-1.573157585
"228","S01006623",-1.529141399
"229","S01006581",-5.939146489
"230","S01006581",-2.858915044
"231","S01006545",-0.877000075
"232","S01006545",2.05338363
"233","S01006581",-3.222672413
"234","S01006581",-2.808373452
"235","S01006544",-1.224911111
"236","S01006544",-2.558432168
"237","S01006544",-0.527927513
"238","S01006544",-1.078864715
"239","S01006574",-2.94975327
"240","S01006574",-2.965257935
"241","S01006581",-3.572454826
"242","S01006581",-4.084938766
"243","S01006581",-5.026800112
"244","S01006575",-3.07911974
"245","S01006575",-5.046617236
"246","S01006575",-3.229967878
"247","S01006575",-4.309069325
"248","S01006575",-1.275972776
"249","S01006576",-4.173967981
"250","S01006576",-2.552847752
"251","S01006576",-3.170925418
"252","S01006576",-2.072284541
"253","S01006576",1.38566251
"254","S01006578",-2.15873759
"255","S01006579",0.754992421
"256","S01006583",2.79180741
"257","S01006571",0.350415944
"258","S01006578",-0.449241151
"259","S01006578",-0.806482861
"260","S01006579",2.607900749
"261","S01006579",2.735876425
"262","S01006579",3.776923781
"263","S01006578",3.64523143
"264","S01006578",0.496562131
"265","S01006578",0.7740677
"266","S01006578",-0.380428812
"267","S01006578",1.864297697
"268","S01006578",-0.479362562
"269","S01006578",-0.761723447
"270","S01006579",1.849700668
"271","S01006576",-3.856676316
"272","S01006578",-0.888133887
"273","S01006576",-3.48839951
"274","S01006580",-1.472495366
"275","S01006580",0.173576689
"276","S01006577",0.154662317
"277","S01006577",-2.308197677
"278","S01006577",-5.576169371
"279","S01006577",-2.194264882
"280","S01006577",0.496319941
"281","S01006577",-0.315535184
"282","S01006533",-5.6973848
"283","S01006539",-4.268141665
"284","S01006533",-5.462042172
"285","S01006539",-3.494469128
"286","S01006533",-5.876758417
"287","S01006533",-2.880806791
"288","S01006533",-5.790000896
"289","S01006534",-4.041588317
"290","S01006532",-3.923417418
"291","S01006532",-4.056803222
"292","S01006532",-4.112780235
"293","S01006532",-2.899890306
"294","S01006534",-5.900466886
"295","S01006533",-5.384000831
"296","S01006533",-2.609413415
"297","S01006534",-5.678071973
"298","S01006535",-1.207073313
"299","S01006534",-5.337062172
"300","S01006535",-2.024779263
"301","S01006535",-3.101804846
"302","S01006535",-5.848070244
"303","S01006534",-1.084540076
"304","S01006534",-4.344356491
"305","S01006534",-3.817144418
"306","S01006536",-1.581183939
"307","S01006536",1.840570938
"308","S01006536",3.029172833
"309","S01006536",-3.571701773
"310","S01006536",1.909482018
"311","S01006536",0.771427756
"312","S01006535",0.926940863
"313","S01006535",0.939268383
"314","S01006535",0.559824335
"315","S01006536",-3.796920432
"316","S01006535",-3.419108185
"317","S01006536",-5.738538777
"318","S01006601",-1.692440181
"319","S01006601",-2.524092386
"320","S01006600",2.073011272
"321","S01006600",3.680092707
"322","S01006600",-3.475333085
"323","S01006600",2.017611723
"324","S01006600",-2.720939675
"325","S01006600",-4.863679217
"326","S01006600",-1.896469575
"327","S01006600",-2.965959758
"328","S01006601",-4.34603162
"329","S01006601",-3.845406432
"330","S01006601",-2.721339969
"331","S01006594",3.386033829
"332","S01006594",-1.048935058
"333","S01006528",-0.475993565
"334","S01006527",-0.720290042
"335","S01006527",-0.773153042
"336","S01006526",1.516298694
"337","S01006526",1.962124697
"338","S01006526",0.139555588
"339","S01006528",-0.123453783
"340","S01006527",0.447706929
"341","S01006526",-0.913930283
"342","S01006527",6.447640317
"343","S01006527",-0.57686237
"344","S01006528",4.050166828
"345","S01006528",0.290227792
"346","S01006528",0.862950065
"347","S01006528",-1.26379227
"348","S01006530",0.590470405
"349","S01006528",2.116174688
"350","S01006530",-0.529616451
"351","S01006531",3.697365489
"352","S01006531",2.629418759
"353","S01006531",1.453298868
"354","S01006531",3.031053371
"355","S01006531",3.832345845
"356","S01006531",-0.369216745
"357","S01006540",-2.798732287
"358","S01006539",-2.783487458
"359","S01006540",-1.182450725
"360","S01006540",-5.812122797
"361","S01006540",-1.730779382
"362","S01006540",-4.505709407
"363","S01006538",-3.096205327
"364","S01006538",-3.707080372
"365","S01006538",-4.614876823
"366","S01006538",-4.178711829
"367","S01006543",-2.738853695
"368","S01006543",-3.247587523
"369","S01006543",-3.645938809
"370","S01006543",-3.799526648
"371","S01006543",-5.977798148
"372","S01006543",-4.294436645
"373","S01006537",-5.75925748
"374","S01006537",-4.202757415
"375","S01006537",-3.086941888
"376","S01006537",-4.568585943
"377","S01006537",-4.239091564
"378","S01006541",-4.165342519
"379","S01006540",-3.381958826
"380","S01006541",-3.827927548
"381","S01006541",-5.980677417
"382","S01006537",-4.719453786
"383","S01006543",-3.131551313
